;Result;Date;Venue;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;value;opp_Formation;opp_value;Mois
0;W;2021-08-21;Away;52.0;24.5;3-4-3;2.0;14.9;72.1;8.0;13.0;398.75;3-4-3;223.4;08
1;D;2021-08-28;Home;59.0;24.5;3-4-3;3.0;20.0;79.4;9.0;11.0;398.75;4-3-3;186.2;08
2;L;2021-09-11;Home;55.0;24.5;3-4-3;4.0;10.7;83.5;8.0;13.0;398.75;4-3-3;325.8;09
3;D;2021-09-14;Away;52.0;24.5;3-4-3;4.0;19.6;78.2;14.0;11.0;398.75;;;09
4;W;2021-09-18;Away;58.0;24.5;3-4-3;3.0;15.6;82.9;13.0;13.0;398.75;3-4-1-2;70.56;09
5;W;2021-09-21;Home;48.0;24.5;3-4-1-2;5.0;16.9;80.4;9.0;16.0;398.75;4-1-4-1;251.0;09
6;D;2021-09-25;Away;51.0;24.5;3-4-1-2;5.0;15.2;78.0;18.0;11.0;398.75;;;09
7;W;2021-09-29;Home;64.0;24.5;3-4-3;7.0;13.9;85.2;15.0;10.0;398.75;;;09
8;L;2021-10-03;Home;56.0;24.5;3-4-1-2;4.0;17.9;80.0;8.0;13.0;398.75;4-2-3-1;546.95;10
9;W;2021-10-17;Away;52.0;24.5;3-4-1-2;7.0;17.6;80.2;15.0;16.0;398.75;4-3-3;126.5;10
10;L;2021-10-20;Away;44.0;24.5;3-4-1-2;6.0;19.6;76.9;13.0;12.0;398.75;;;10
11;D;2021-10-24;Home;68.0;24.5;3-4-3;3.0;21.0;83.7;9.0;15.0;398.75;5-4-1;142.3;10
12;W;2021-10-27;Away;59.0;24.5;3-4-3;4.0;15.0;79.5;11.0;19.0;398.75;4-3-3;128.55;10
13;D;2021-10-30;Home;57.0;24.5;3-4-3;3.0;17.0;81.9;6.0;13.0;398.75;4-3-3;264.48;10
14;D;2021-11-02;Home;47.0;24.5;3-4-1-2;4.0;18.0;82.3;17.0;11.0;398.75;;;11
15;W;2021-11-06;Away;62.0;24.5;3-4-3;8.0;14.2;83.6;14.0;9.0;398.75;4-4-2;134.53;11
16;W;2021-11-20;Home;51.0;24.5;3-4-3;8.0;19.1;83.6;13.0;10.0;398.75;3-5-1-1;78.5;11
17;D;2021-11-23;Away;41.0;24.5;3-4-1-2;5.0;18.9;75.8;8.0;16.0;398.75;;;11
18;W;2021-11-27;Away;41.0;24.5;3-4-3;1.0;18.6;74.8;14.0;20.0;398.75;4-4-2;642.5;11
19;W;2021-11-30;Home;58.0;24.5;3-4-3;6.0;15.7;86.4;11.0;11.0;398.75;4-3-1-2;80.98;11
20;W;2021-12-04;Away;45.0;24.5;3-4-3;7.0;16.0;82.0;10.0;18.0;398.75;3-4-3;477.23;12
21;L;2021-12-09;Home;64.0;24.5;3-4-1-2;5.0;17.8;79.2;7.0;8.0;398.75;;;12
22;W;2021-12-12;Away;48.0;24.5;3-4-3;6.0;18.2;66.3;15.0;10.0;398.75;;;12
23;L;2021-12-18;Home;71.0;24.5;3-4-3;6.0;18.0;85.0;9.0;11.0;398.75;3-5-2;381.25;12
24;D;2021-12-21;Away;67.0;24.5;3-4-3;3.0;17.5;75.6;19.0;15.0;398.75;3-5-2;121.28;12
25;W;2022-01-09;Away;60.0;24.5;3-4-3;7.0;15.4;83.7;14.0;12.0;398.75;5-4-1;142.3;01
26;W;2022-01-12;Home;54.0;24.5;3-4-3;7.0;;;7.0;11.0;398.75;3-4-3;80.98;01
27;D;2022-01-16;Home;37.0;24.5;4-3-3;6.0;15.0;74.3;20.0;12.0;398.75;;;01
28;D;2022-01-22;Away;39.0;24.5;3-4-1-2;2.0;18.2;82.0;15.0;17.0;398.75;4-3-3;264.48;01
29;L;2022-02-06;Home;61.0;24.5;4-2-3-1;3.0;18.1;81.8;11.0;13.0;398.75;3-1-4-2;134.53;02
30;L;2022-02-10;Home;49.0;24.5;3-4-1-2;2.0;;;8.0;11.0;398.75;4-3-3;325.8;02
31;D;2022-02-13;Home;52.0;24.5;3-4-1-2;3.0;17.5;80.9;16.0;13.0;398.75;4-3-3;642.5;02
32;W;2022-02-17;Home;72.0;24.5;3-4-3;5.0;15.2;82.1;8.0;9.0;398.75;;;02
33;L;2022-02-20;Away;50.0;24.5;3-4-1-2;1.0;18.9;79.0;11.0;20.0;398.75;4-3-3;325.8;02
34;W;2022-02-24;Away;47.0;24.5;3-4-3;4.0;19.5;77.7;9.0;17.0;398.75;;;02
35;W;2022-02-28;Home;56.0;24.5;4-2-3-1;9.0;16.6;84.3;17.0;16.0;398.75;3-4-1-2;128.55;02
36;L;2022-03-05;Away;65.0;24.5;4-2-3-1;4.0;15.6;83.5;7.0;16.0;398.75;3-4-1-2;381.25;03
37;W;2022-03-10;Home;46.0;24.5;3-4-1-2;9.0;16.2;76.2;16.0;7.0;398.75;;;03
38;D;2022-03-13;Home;58.0;24.5;3-4-1-2;2.0;15.1;71.4;14.0;13.0;398.75;4-2-3-1;121.28;03
39;W;2022-03-17;Away;37.0;24.5;3-4-3;3.0;18.1;71.1;20.0;12.0;398.75;;;03
40;W;2022-03-20;Away;40.0;24.5;3-4-3;2.0;17.8;69.4;23.0;12.0;398.75;3-4-3;186.2;03
41;L;2022-04-03;Home;55.0;24.5;3-4-1-2;3.0;15.8;83.8;13.0;15.0;398.75;4-2-3-1;477.23;04
42;D;2022-04-07;Away;44.0;24.5;4-2-3-1;4.0;15.9;78.1;11.0;11.0;398.75;;;04
43;L;2022-04-10;Away;50.0;24.5;3-4-3;4.0;14.2;82.8;9.0;14.0;398.75;4-2-3-1;251.0;04
44;L;2022-04-14;Home;57.0;24.5;3-4-3;3.0;17.0;81.2;9.0;12.0;398.75;;;04
45;L;2022-04-18;Home;56.0;24.5;3-4-3;4.0;15.4;76.5;8.0;13.0;398.75;;;04
46;W;2022-04-23;Away;60.0;24.5;3-4-1-2;4.0;12.0;82.0;11.0;13.0;398.75;4-3-3;80.98;04
47;D;2022-04-27;Home;49.0;24.5;3-4-3;3.0;16.9;76.8;5.0;12.0;398.75;3-4-3;223.4;04
48;D;2022-05-02;Home;62.0;24.5;3-4-3;5.0;17.5;80.9;4.0;13.0;398.75;3-5-2;70.56;05
49;W;2022-05-08;Away;65.0;24.5;3-4-3;6.0;17.7;84.3;6.0;12.0;398.75;4-4-2;78.5;05
50;L;2022-05-15;Away;54.0;24.5;3-4-3;2.0;16.7;82.0;7.0;14.0;398.75;4-2-3-1;546.95;05
51;L;2022-05-21;Home;62.0;24.5;3-4-1-2;9.0;16.5;83.9;11.0;6.0;398.75;4-3-1-2;126.5;05
52;L;2021-08-16;Home;64.0;23.7;4-2-3-1;11.0;;;17.0;14.0;186.2;;;08
53;W;2021-08-22;Home;71.0;23.7;4-2-3-1;7.0;17.5;82.1;6.0;13.0;186.2;3-5-2;70.56;08
54;D;2021-08-28;Away;41.0;23.7;4-3-3;1.0;15.4;69.6;14.0;14.0;186.2;3-4-3;398.75;08
55;W;2021-09-13;Home;43.0;23.7;4-2-3-1;3.0;17.3;71.6;15.0;14.0;186.2;;;09
56;L;2021-09-18;Away;55.0;23.7;4-2-3-1;2.0;15.5;86.9;5.0;10.0;186.2;;;09
57;D;2021-09-21;Home;60.0;23.7;4-2-3-1;4.0;15.3;82.1;5.0;14.0;186.2;4-2-3-1;121.28;09
58;L;2021-09-26;Away;63.0;23.7;4-2-3-1;5.0;15.9;81.5;6.0;22.0;186.2;4-3-1-2;126.5;09
59;W;2021-10-03;Home;41.0;23.7;3-4-3;3.0;18.5;80.3;15.0;5.0;186.2;4-3-3;264.48;10
60;D;2021-10-17;Away;59.0;23.7;3-4-3;11.0;20.2;86.5;8.0;11.0;186.2;3-5-2;142.3;10
61;L;2021-10-23;Home;37.0;23.7;3-4-3;4.0;14.5;78.2;3.0;7.0;186.2;4-2-3-1;546.95;10
62;L;2021-10-28;Away;35.0;23.7;3-4-3;1.0;23.2;81.9;6.0;5.0;186.2;4-2-3-1;477.23;10
63;W;2021-11-01;Home;57.0;23.7;3-4-3;3.0;20.7;86.3;5.0;11.0;186.2;5-3-2;134.53;11
64;W;2021-11-07;Away;53.0;23.7;3-4-3;6.0;16.9;78.0;10.0;12.0;186.2;4-4-2;128.55;11
65;L;2021-11-21;Home;67.0;23.7;3-4-3;6.0;19.7;84.0;7.0;6.0;186.2;4-3-1-2;80.98;11
66;W;2021-11-28;Away;57.0;23.7;3-4-3;4.0;18.3;83.0;14.0;12.0;186.2;4-3-3;78.5;11
67;W;2021-12-01;Home;43.0;23.7;3-4-3;3.0;25.3;77.9;13.0;9.0;186.2;3-1-4-2;381.25;12
68;L;2021-12-05;Home;37.0;23.7;5-3-2;4.0;18.7;77.5;5.0;12.0;186.2;4-3-3;325.8;12
69;L;2021-12-12;Away;51.0;23.7;3-4-3;4.0;25.4;76.4;9.0;18.0;186.2;3-4-3;223.4;12
70;L;2021-12-18;Home;57.0;23.7;3-1-4-2;3.0;19.9;81.3;14.0;7.0;186.2;4-3-3;642.5;12
71;W;2021-12-22;Away;40.0;23.7;3-5-2;5.0;16.6;78.2;13.0;12.0;186.2;4-3-3;251.0;12
72;L;2022-01-11;Away;48.0;23.7;3-1-4-2;3.0;18.3;67.6;15.0;15.0;186.2;3-5-2;134.53;01
73;L;2022-01-17;Home;39.0;23.7;3-1-4-2;5.0;17.6;79.1;13.0;9.0;186.2;4-2-3-1;477.23;01
74;L;2022-01-21;Away;44.0;23.7;5-3-2;2.0;21.0;64.0;16.0;9.0;186.2;;;01
75;D;2022-02-06;Home;60.0;23.7;3-4-1-2;2.0;19.1;79.8;14.0;10.0;186.2;4-3-2-1;126.5;02
76;L;2022-02-12;Away;44.0;23.7;3-5-2;3.0;16.3;85.1;7.0;16.0;186.2;4-3-3;264.48;02
77;W;2022-02-21;Home;61.0;23.7;3-4-3;7.0;19.0;78.9;9.0;7.0;186.2;4-2-3-1;78.5;02
78;D;2022-02-26;Away;44.0;23.7;3-4-3;3.0;22.5;73.5;6.0;25.0;186.2;4-2-3-1;70.56;02
79;D;2022-03-06;Home;51.0;23.7;3-4-3;1.0;20.3;70.7;5.0;23.0;186.2;3-4-3;223.4;03
80;L;2022-03-13;Away;39.0;23.7;3-4-3;0.0;15.0;70.4;7.0;16.0;186.2;4-3-3;325.8;03
81;L;2022-03-20;Home;60.0;23.7;3-4-3;3.0;17.4;76.0;10.0;9.0;186.2;3-4-3;398.75;03
82;D;2022-04-04;Away;47.0;23.7;3-5-2;4.0;23.1;76.8;17.0;7.0;186.2;4-2-3-1;546.95;04
83;W;2022-04-11;Home;52.0;23.7;3-5-2;4.0;18.1;80.9;11.0;11.0;186.2;4-1-3-2;128.55;04
84;D;2022-04-16;Away;49.0;23.7;3-5-2;2.0;21.9;81.5;12.0;11.0;186.2;4-3-3;642.5;04
85;D;2022-04-24;Home;55.0;23.7;3-5-2;3.0;17.2;79.8;5.0;9.0;186.2;3-5-2;142.3;04
86;W;2022-04-27;Home;41.0;23.7;3-5-2;3.0;13.9;82.8;6.0;11.0;186.2;;;04
87;D;2022-05-01;Away;57.0;23.7;3-1-4-2;4.0;15.6;80.3;7.0;9.0;186.2;3-4-3;381.25;05
88;L;2022-05-08;Away;60.0;23.7;3-5-2;10.0;15.5;81.3;19.0;13.0;186.2;3-4-3;80.98;05
89;L;2022-05-15;Home;55.0;23.7;3-5-2;1.0;15.9;81.1;9.0;9.0;186.2;4-2-3-1;251.0;05
90;W;2022-05-21;Away;50.0;23.7;3-5-2;4.0;12.4;71.9;10.0;10.0;186.2;4-2-3-1;121.28;05
91;W;2021-08-15;Home;50.0;24.5;4-3-1-2;4.0;;;0.0;0.0;126.5;;;08
92;L;2021-08-21;Home;46.0;24.5;4-1-2-1-2◆;3.0;17.7;80.8;12.0;13.0;126.5;4-3-3;264.48;08
93;W;2021-08-28;Away;46.0;24.5;4-3-1-2;3.0;17.4;71.8;5.0;6.0;126.5;4-3-1-2;642.5;08
94;L;2021-09-11;Home;68.0;24.5;4-1-3-2;5.0;19.3;81.2;9.0;12.0;126.5;4-3-3;80.98;09
95;L;2021-09-19;Home;54.0;24.5;4-3-1-2;4.0;19.5;73.8;9.0;10.0;126.5;4-4-2;128.55;09
96;W;2021-09-22;Away;50.0;24.5;4-3-1-2;5.0;21.6;78.0;9.0;13.0;126.5;3-5-2;134.53;09
97;W;2021-09-26;Home;37.0;24.5;4-3-1-2;6.0;17.2;73.3;11.0;15.0;126.5;4-2-3-1;186.2;09
98;L;2021-10-03;Away;37.0;24.5;4-3-1-2;3.0;19.2;80.2;8.0;15.0;126.5;4-2-3-1;381.25;10
99;L;2021-10-17;Home;48.0;24.5;4-3-3;4.0;19.2;75.6;14.0;10.0;126.5;3-4-1-2;398.75;10
100;W;2021-10-23;Away;40.0;24.5;4-3-1-2;4.0;16.7;74.4;16.0;16.0;126.5;3-4-1-2;70.56;10
101;L;2021-10-27;Home;31.0;24.5;4-3-1-2;2.0;18.0;74.8;6.0;20.0;126.5;;;10
102;W;2021-10-31;Away;43.0;24.5;4-3-1-2;4.0;19.3;77.8;11.0;12.0;126.5;4-3-3;251.0;10
103;D;2021-11-05;Home;53.0;24.5;4-3-1-2;2.0;17.5;73.1;8.0;8.0;126.5;3-4-1-2;121.28;11
104;L;2021-11-22;Away;43.0;24.5;4-3-1-2;4.0;17.7;66.3;10.0;13.0;126.5;;;11
105;W;2021-11-27;Home;51.0;24.5;4-3-1-2;5.0;17.7;77.7;16.0;15.0;126.5;4-3-3;325.8;11
106;D;2021-12-02;Away;59.0;24.5;4-3-1-2;5.0;19.2;76.6;5.0;15.0;126.5;3-4-3;223.4;12
107;W;2021-12-06;Home;58.0;24.5;4-3-1-2;8.0;16.0;81.8;5.0;12.0;126.5;4-4-2;142.3;12
108;W;2021-12-12;Away;40.0;24.5;4-3-1-2;5.0;19.2;80.2;8.0;11.0;126.5;4-2-3-1;477.23;12
109;W;2021-12-15;Away;50.0;24.5;4-3-1-2;10.0;;;10.0;11.0;126.5;;;12
110;D;2021-12-19;Away;65.0;24.5;4-3-1-2;6.0;16.3;82.7;2.0;9.0;126.5;3-5-2;78.5;12
111;L;2021-12-22;Home;55.0;24.5;4-3-1-2;4.0;17.5;78.9;9.0;18.0;126.5;4-2-3-1;546.95;12
112;D;2022-01-06;Away;38.0;24.5;4-3-1-2;3.0;20.9;75.0;10.0;11.0;126.5;4-3-3;264.48;01
113;L;2022-01-09;Home;45.0;24.5;4-3-1-2;4.0;14.0;82.4;12.0;10.0;126.5;4-2-3-1;251.0;01
114;D;2022-01-16;Away;50.0;24.5;4-3-2-1;6.0;17.6;78.2;13.0;16.0;126.5;4-3-2-1;80.98;01
115;L;2022-01-19;Away;43.0;24.5;4-3-1-2;5.0;;;16.0;16.0;126.5;;;01
116;L;2022-01-23;Home;58.0;24.5;4-3-2-1;7.0;18.1;82.1;16.0;14.0;126.5;3-4-1-2;381.25;01
117;D;2022-02-06;Away;40.0;24.5;4-3-2-1;4.0;17.3;71.4;9.0;15.0;126.5;3-4-1-2;186.2;02
118;D;2022-02-13;Home;46.0;24.5;4-3-1-2;5.0;25.0;67.4;6.0;15.0;126.5;3-1-4-2;134.53;02
119;L;2022-02-19;Away;58.0;24.5;4-3-1-2;2.0;17.1;79.9;10.0;12.0;126.5;4-3-1-2;128.55;02
120;L;2022-02-26;Home;53.0;24.5;4-3-1-2;2.0;13.6;78.9;9.0;16.0;126.5;4-4-2;642.5;02
121;D;2022-03-06;Away;48.0;24.5;4-3-2-1;2.0;24.2;63.2;5.0;19.0;126.5;4-2-3-1;121.28;03
122;L;2022-03-12;Away;47.0;24.5;4-3-2-1;2.0;19.5;80.4;4.0;12.0;126.5;4-2-3-1;546.95;03
123;D;2022-03-20;Home;37.0;24.5;4-3-2-1;2.0;20.4;62.3;13.0;17.0;126.5;;;03
124;L;2022-04-03;Away;38.0;24.5;4-3-1-2;1.0;22.9;79.8;3.0;20.0;126.5;4-3-3;325.8;04
125;D;2022-04-09;Home;58.0;24.5;4-3-1-2;4.0;16.1;73.6;6.0;11.0;126.5;4-2-3-1;78.5;04
126;L;2022-04-16;Away;60.0;24.5;4-3-1-2;3.0;18.4;79.0;10.0;13.0;126.5;3-5-2;142.3;04
127;W;2022-04-24;Home;41.0;24.5;4-3-1-2;7.0;17.5;75.1;15.0;14.0;126.5;4-2-3-1;477.23;04
128;L;2022-05-01;Home;40.0;24.5;4-3-1-2;4.0;24.7;70.0;14.0;14.0;126.5;3-4-3;223.4;05
129;L;2022-05-06;Away;36.0;24.5;4-3-1-2;2.0;19.1;78.1;6.0;9.0;126.5;;;05
130;D;2022-05-14;Home;46.0;24.5;4-3-1-2;6.0;17.5;78.0;6.0;18.0;126.5;3-5-1-1;70.56;05
131;W;2022-05-21;Away;38.0;24.5;4-3-1-2;3.0;24.2;78.4;12.0;7.0;126.5;3-4-1-2;398.75;05
132;W;2021-08-13;Home;81.0;25.4;4-3-3;13.0;;;11.0;11.0;325.8;;;08
133;L;2021-08-22;Away;58.0;25.4;4-3-3;8.0;17.3;87.6;13.0;15.0;325.8;4-2-3-1;381.25;08
134;W;2021-08-28;Home;58.0;25.4;4-3-3;6.0;17.8;78.7;6.0;13.0;325.8;3-4-1-2;223.4;08
135;W;2021-09-11;Away;45.0;25.4;4-3-3;0.0;21.2;81.5;6.0;19.0;325.8;3-4-3;398.75;09
136;W;2021-09-18;Away;64.0;25.4;4-3-3;5.0;18.6;85.4;4.0;16.0;325.8;4-2-3-1;121.28;09
137;L;2021-09-21;Home;53.0;25.4;4-3-3;6.0;21.1;85.5;13.0;11.0;325.8;;;09
138;W;2021-09-26;Away;54.0;25.4;4-3-3;1.0;22.9;85.1;5.0;11.0;325.8;3-5-2;142.3;09
139;L;2021-10-03;Home;54.0;25.4;4-4-2;3.0;17.6;81.5;4.0;16.0;325.8;4-2-3-1;477.23;10
140;L;2021-10-18;Away;61.0;25.4;4-3-3;2.0;21.7;84.9;9.0;11.0;325.8;4-3-2-1;80.98;10
141;W;2021-10-24;Home;65.0;25.4;4-3-3;4.0;20.9;87.7;4.0;11.0;325.8;4-4-2;134.53;10
142;L;2021-10-27;Away;51.0;25.4;4-3-3;1.0;13.5;83.6;6.0;11.0;325.8;4-3-3;264.48;10
143;W;2021-10-31;Home;55.0;25.4;4-3-3;11.0;17.7;83.9;7.0;9.0;325.8;4-2-3-1;78.5;10
144;L;2021-11-06;Away;50.0;25.4;4-3-3;1.0;12.4;76.7;5.0;16.0;325.8;4-4-2;642.5;11
145;W;2021-11-20;Home;45.0;25.4;4-3-3;5.0;14.7;80.8;7.0;6.0;325.8;4-2-3-1;546.95;11
146;L;2021-11-27;Away;49.0;25.4;4-3-3;7.0;16.5;79.9;8.0;10.0;325.8;4-3-1-2;126.5;11
147;W;2021-11-30;Home;60.0;25.4;4-3-3;7.0;17.4;86.0;3.0;6.0;325.8;4-4-2;128.55;11
148;W;2021-12-05;Away;63.0;25.4;4-3-3;2.0;22.7;84.5;5.0;15.0;325.8;5-3-2;186.2;12
149;W;2021-12-11;Home;69.0;25.4;4-3-3;9.0;13.4;88.5;6.0;9.0;325.8;4-4-1-1;70.56;12
150;W;2021-12-15;Home;66.0;25.4;4-3-3;7.0;;;5.0;11.0;325.8;;;12
151;D;2021-12-19;Home;57.0;25.4;4-3-3;7.0;13.5;84.1;10.0;7.0;325.8;4-2-3-1;251.0;12
152;D;2021-12-22;Away;60.0;25.4;4-3-3;1.0;15.0;76.8;9.0;5.0;325.8;;;12
153;L;2022-01-10;Away;55.0;25.4;4-3-3;3.0;18.0;77.8;3.0;12.0;325.8;3-4-3;223.4;01
154;W;2022-01-13;Away;52.0;25.4;4-3-3;8.0;;;13.0;12.0;325.8;4-2-3-1;477.23;01
155;W;2022-01-17;Home;73.0;25.4;4-3-3;11.0;17.5;90.4;8.0;10.0;325.8;4-3-1-2;121.28;01
156;D;2022-01-23;Away;59.0;25.4;4-3-3;5.0;18.2;76.4;5.0;16.0;325.8;3-5-2;134.53;01
157;L;2022-02-05;Home;50.0;25.4;4-3-3;3.0;17.4;84.2;11.0;13.0;325.8;4-3-3;264.48;02
158;W;2022-02-10;Away;51.0;25.4;4-3-3;7.0;;;3.0;9.0;325.8;3-4-1-2;398.75;02
159;W;2022-02-14;Away;66.0;25.4;4-3-3;4.0;22.2;80.7;5.0;10.0;325.8;4-2-3-1;78.5;02
160;W;2022-02-20;Home;50.0;25.4;4-3-3;3.0;15.1;81.3;8.0;17.0;325.8;3-4-1-2;398.75;02
161;L;2022-02-26;Away;50.0;25.4;4-3-3;6.0;15.5;78.1;8.0;12.0;325.8;4-2-3-1;251.0;02
162;L;2022-03-02;Home;55.0;25.4;4-3-3;6.0;;;5.0;16.0;325.8;3-5-2;642.5;03
163;D;2022-03-06;Home;50.0;25.4;4-3-3;2.0;12.3;75.7;9.0;15.0;325.8;;;03
164;W;2022-03-13;Home;61.0;25.4;4-3-3;5.0;16.2;79.4;6.0;9.0;325.8;3-4-3;186.2;03
165;D;2022-03-19;Away;49.0;25.4;4-3-3;4.0;18.5;81.7;4.0;12.0;325.8;;;03
166;W;2022-04-03;Home;62.0;25.4;4-3-3;11.0;17.0;87.8;6.0;10.0;325.8;4-3-1-2;126.5;04
167;W;2022-04-10;Away;50.0;25.4;4-3-3;4.0;19.0;83.9;8.0;17.0;325.8;4-3-3;477.23;04
168;W;2022-04-16;Home;69.0;25.4;4-3-3;5.0;14.2;87.5;4.0;15.0;325.8;4-3-3;80.98;04
169;L;2022-04-20;Away;68.0;25.4;4-3-3;5.0;;;8.0;12.0;325.8;4-4-2;642.5;04
170;L;2022-04-24;Away;72.0;25.4;4-3-3;3.0;12.3;83.3;4.0;12.0;325.8;3-5-2;70.56;04
171;L;2022-04-27;Home;72.0;25.4;4-3-3;7.0;12.8;81.7;5.0;12.0;325.8;3-5-2;142.3;04
172;L;2022-05-01;Away;51.0;25.4;4-3-3;2.0;16.8;79.2;4.0;17.0;325.8;4-2-3-1;546.95;05
173;W;2022-05-09;Home;54.0;25.4;4-3-3;6.0;22.1;84.8;5.0;16.0;325.8;3-4-1-2;381.25;05
174;L;2022-05-16;Away;63.0;25.4;4-3-3;0.0;16.3;83.6;3.0;9.0;325.8;4-1-4-1;128.55;05
