,victoire,y_pred
7,0,0.820183402000495
8,1,0.5103847786725964
9,1,0.6320275407387697
10,1,0.9609509214973065
12,1,0.3353018426153542
16,1,0.22438080293436397
17,1,0.8199197289139237
20,1,0.8546172057059168
21,1,0.6882491814388173
22,1,0.8381932924470255
24,0,0.6060060446497539
25,1,0.5250145963378017
28,0,0.05057499084329754
29,0,0.30825382051046724
31,0,0.13155195220959184
32,1,0.45189279590412545
33,0,0.06477547333738495
34,1,0.6633885869732822
36,0,0.0283393689610814
37,0,0.11367275823698907
38,0,0.07809047212751381
39,0,0.484194073311083
40,0,0.03803564914098379
41,1,0.2687486340916363
42,0,0.07130833374926042
43,1,0.4288060227977887
44,0,0.07467836235570556
45,0,0.13628226457978093
46,1,0.49367711328762215
47,0,0.10381663069953048
48,0,0.016152485301234594
49,1,0.6260991203488875
50,1,0.6376987892492186
51,0,0.014238996931173331
52,0,0.0702373163349107
53,0,0.05014721930529339
56,0,0.28453071196696655
57,0,0.3177209228074572
58,1,0.6636125854699095
59,0,0.018089599411022773
60,0,0.38962172648088533
61,0,0.49372299640533795
63,0,0.12363505528829488
64,0,0.6708390364952732
66,1,0.09756635079731214
67,0,0.22932392201075008
68,0,0.27989759861934654
70,1,0.8301852424540915
71,0,0.07700575346272412
73,0,0.5527621752672767
74,0,0.12084665344159093
75,0,0.2594228649993402
77,0,0.4323910940890678
78,0,0.2479235104145335
79,0,0.7832419437047397
80,1,0.7843959985358102
81,0,0.3389761365555485
82,0,0.6287823657946379
83,1,0.7518192296674411
84,0,0.16199091805309063
85,0,0.1100350820338853
86,0,0.2566714804829526
95,1,0.31993191789326003
119,1,0.7700260960687566
120,0,0.34549713045622454
121,0,0.4122479455622751
122,1,0.8192405520369201
123,0,0.6332750471502554
124,1,0.9345830495924673
125,1,0.9325226565325988
126,1,0.9715824481912622
127,1,0.9800889262493524
128,1,0.767686380852091
130,1,0.9816294770083973
131,0,0.8651824797270907
132,0,0.6738804126817773
133,1,0.9789202710821961
134,1,0.7798492751706287
135,1,0.9894083723080288
136,1,0.7150194808181858
137,1,0.5953754213198927
138,1,0.9178784511961146
139,1,0.9589874764214202
140,1,0.9500334426843686
141,0,0.41514839844125734
142,1,0.8230465704618238
143,1,0.7968445329909448
144,1,0.9802955169044916
145,1,0.7153127062709427
146,1,0.8128163887150591
148,0,0.5359543438890173
154,0,0.17356084993112164
162,0,0.5706407247674073
163,1,0.8402869467607272
170,0,0.039808269831915016
175,0,0.2279843074472952
176,0,0.18010648283253303
177,1,0.6047894160356049
178,1,0.9639725644903698
179,0,0.7815954290225355
180,0,0.3972029724281944
181,0,0.1361495777971381
182,1,0.17551579027972045
183,0,0.06937545951474021
184,0,0.32401593610925067
185,1,0.29008615694472245
186,1,0.923672137116303
187,1,0.4670943519145827
188,1,0.5664031768494353
189,1,0.40053430215920294
190,0,0.06658745685365071
191,1,0.7215370049585961
192,0,0.3344206534782234
193,0,0.09125004733011062
194,1,0.2480954979496947
195,1,0.577447798349403
196,1,0.14376630969132387
197,1,0.8198613411366404
198,0,0.05470324867140262
199,1,0.32442434789702446
200,1,0.9654532257340535
201,0,0.02523276304504102
202,1,0.555360175547695
203,0,0.08891175555922247
204,0,0.1762522003871198
205,0,0.3538257379343877
206,1,0.7319350730963228
207,1,0.8997638204475381
208,1,0.16198435783839513
209,0,0.8952004446128845
210,0,0.2850099277454383
211,1,0.7697346259014426
212,1,0.7352439946794479
213,1,0.7799203871841568
214,1,0.5575876135843716
215,1,0.6462956785796143
216,0,0.1212769745014491
217,1,0.9510689711121554
218,1,0.937740183362004
219,0,0.3069974168500418
220,1,0.8844422573012026
221,1,0.45114168149590217
222,0,0.12492896651920032
223,1,0.5576640098900945
224,0,0.6164848957816759
225,0,0.2881296683335609
226,1,0.9627854292372567
227,1,0.8985581203296561
228,0,0.07497636049582496
229,1,0.5447406454228102
230,1,0.9815458987262364
231,1,0.9829619400152281
232,1,0.814847634410185
233,0,0.7578631670380136
234,1,0.6808577679581541
235,0,0.5165714054115799
237,1,0.9430099174056655
238,1,0.9050918023837867
239,0,0.09292026410803102
240,0,0.6690506988135331
241,0,0.8272169933622844
242,1,0.9804847155549544
243,1,0.9560292108984184
244,0,0.45342965963629706
246,0,0.40034763544254526
247,1,0.6110787890069425
248,0,0.8511558036400024
249,1,0.928278381929777
250,1,0.30731544890614154
251,1,0.7058853560929051
252,1,0.9217722063694267
253,0,0.09192058393873118
254,1,0.9701790665213124
255,1,0.8514533348518291
256,0,0.727475597588881
257,1,0.493547366581688
258,0,0.5532428688713116
260,1,0.9132021720998532
282,0,0.04386892772514721
285,1,0.8229988003152328
286,0,0.09629650408550093
287,1,0.16004924814644783
288,0,0.03369202227326071
295,0,0.1233936789580697
297,0,0.1250522935916272
298,1,0.15511092046751415
299,1,0.4095055502053712
301,0,0.09630106330062702
304,1,0.10463374482950519
305,0,0.023336443990672695
306,0,0.09477730938568446
309,0,0.08441147955460448
313,1,0.38861435513081444
315,1,0.17134878510825177
316,0,0.019536048480860668
318,0,0.12079968689701871
320,0,0.013362366531597761
321,0,0.010973915837722718
322,1,0.2851363154941687
323,0,0.07199725180630379
324,0,0.010028480185187368
325,0,0.06422990337764976
326,1,0.04861540687940414
327,0,0.04598825340965221
328,0,0.03267927452592053
329,1,0.15572401715219217
330,0,0.024118162625057598
331,0,0.14936295685624948
333,1,0.6258213231952597
334,0,0.09181159187364041
335,0,0.004661159014043793
336,1,0.12612888172856535
337,1,0.1516563823912055
338,1,0.04715514820392726
339,0,0.02948579027461328
340,1,0.3108680664400911
341,1,0.6639497535647897
342,1,0.15231976143701384
379,0,0.2135451787269934
380,0,0.5932181985371553
381,0,0.12349588315567586
384,0,0.06446108148510571
385,1,0.4405281842254471
386,0,0.05072791583698091
388,0,0.1251500031469046
389,0,0.042431748632998624
390,0,0.07971149268839976
391,0,0.13141504519294703
392,1,0.13897229809365252
393,0,0.09308154988382025
394,1,0.5423549266635164
395,1,0.23413499312996627
396,0,0.057052380599547745
397,0,0.0273864933878222
398,0,0.12691441776207205
399,0,0.009150318456218382
400,0,0.09318433351832715
401,0,0.3503807089183985
402,0,0.17832588442361044
403,0,0.13865981420031429
404,0,0.15608416146862736
407,1,0.37879814427563263
408,1,0.22569706969183903
409,1,0.2767910174045333
410,0,0.27880824302482327
411,0,0.19526567610862708
412,0,0.05119691397812481
413,0,0.11007508247891883
417,0,0.03637781105950306
419,0,0.027873615849089862
420,1,0.1829648246694062
422,0,0.4023545109105941
423,0,0.07509763126861019
424,0,0.11488949594201765
426,0,0.05359561277907336
431,0,0.3837805393704001
434,1,0.6459413796974302
435,0,0.08037747516866145
436,0,0.06077810186317988
437,0,0.033845815147739385
438,0,0.054450534984038054
439,0,0.0534014071620618
440,0,0.022114852075832452
441,0,0.04573652351587827
443,0,0.00825639593919856
444,0,0.06280824125031789
445,0,0.3911288879544882
447,0,0.06322888819592126
448,0,0.011020262768807423
449,1,0.167784071810906
450,1,0.18829706253336845
451,0,0.06571616578663866
452,0,0.004023007692659459
453,1,0.1614082316924807
454,1,0.36848712533800926
455,0,0.025702082302307222
456,1,0.09542560716716533
457,0,0.008998762623003097
458,0,0.011016576199432875
460,1,0.5112646666627265
461,0,0.008524312089280086
462,0,0.17638925828855523
463,0,0.018640533283346025
464,0,0.17673680761185986
465,0,0.021578889513678725
466,0,0.1664821278813685
470,0,0.13725057609473015
471,0,0.108827398003226
472,1,0.6198905437209261
473,0,0.06619559677025015
474,1,0.3090278399260824
475,1,0.20798822834762368
476,0,0.027728791720169427
477,0,0.08756824452844468
478,0,0.006293800078482847
479,0,0.024230556028396875
480,0,0.02882935562518507
481,0,0.027042136490771196
482,0,0.0076953525124473805
483,0,0.09406664622166505
484,0,0.1519847557135163
485,0,0.15860681052853656
487,0,0.291429669600073
488,0,0.17942995088905722
489,0,0.022433341638293115
492,0,0.17400310206897313
493,0,0.09406475463364847
494,0,0.05631923628030137
495,0,0.032190368043720406
496,0,0.04363258859824636
497,0,0.061889109731306215
498,1,0.42372324534878464
499,0,0.02152945059145071
500,0,0.08292360536357243
501,0,0.023956253901096566
502,1,0.41035130862425256
503,0,0.03278841473673651
504,0,0.197277502307757
505,0,0.012437296951321829
506,0,0.5137107460641094
510,0,0.1932218361389395
511,0,0.16903127890409614
512,0,0.10625317400920553
514,0,0.027456997162114045
515,0,0.05865864042951687
516,1,0.3829182371415244
517,0,0.08759637537116371
518,0,0.05808037398496137
520,1,0.19043059131758963
521,0,0.06500299172216809
522,0,0.09644908625900953
523,0,0.07410059012741499
524,1,0.22291330431395537
525,0,0.03498996421845916
526,0,0.25648148688981337
527,1,0.1841500062612694
528,0,0.0038809129142095425
529,1,0.2563728616776272
530,0,0.10295047922582937
531,0,0.04607335738790654
532,0,0.36708065252145283
533,0,0.38223965523823256
534,0,0.25349171246855146
535,0,0.044277191382280576
536,0,0.08537561932080183
538,0,0.37732088936412284
539,0,0.31201285198352974
540,0,0.22445063142394153
541,0,0.010717316064086603
542,0,0.2817094370690059
543,0,0.03217464732409251
544,0,0.28347594038963125
545,0,0.12438307044846945
550,0,0.19456427623140124
552,1,0.21723892602054878
556,0,0.43738714482398733
557,0,0.13216902059210084
558,0,0.010788385612232566
573,0,0.06198841224181166
574,0,0.7541882037910019
